city,date,hour,NDVI,.geo
Amritsar,2024-05-01,10:30,0.1222630654,"{""type"":""Point"",""coordinates"":[74.7818939443326,31.873398200890605]}"
Amritsar,2024-05-01,10:30,0.1155794321,"{""type"":""Point"",""coordinates"":[74.78191326837471,31.880398257379955]}"
Amritsar,2024-05-01,10:30,0.4042117578,"{""type"":""Point"",""coordinates"":[74.78370285428136,31.57925391252926]}"
Amritsar,2024-05-01,10:30,0.1347886348,"{""type"":""Point"",""coordinates"":[74.78467780216691,31.9413799543444]}"
Amritsar,2024-05-01,10:30,0.1577690602,"{""type"":""Point"",""coordinates"":[74.78483753920455,31.898468553827175]}"
Amritsar,2024-05-01,10:30,0.1859056708,"{""type"":""Point"",""coordinates"":[74.78848051883449,31.72131341336224]}"
Amritsar,2024-05-01,10:30,0.1183527886,"{""type"":""Point"",""coordinates"":[74.78849829718025,31.900044275356475]}"
Amritsar,2024-05-01,10:30,0.1293056808,"{""type"":""Point"",""coordinates"":[74.78851740381496,31.635911754346562]}"
Amritsar,2024-05-01,10:30,0.09998336383,"{""type"":""Point"",""coordinates"":[74.78875918103914,31.577956732659775]}"
Amritsar,2024-05-01,10:30,0.1571407689,"{""type"":""Point"",""coordinates"":[74.78892706726207,31.822247443559593]}"
Amritsar,2024-05-01,10:30,0.1056554143,"{""type"":""Point"",""coordinates"":[74.79165713839083,31.76953942663283]}"
Amritsar,2024-05-01,10:30,0.2212943633,"{""type"":""Point"",""coordinates"":[74.79426494805263,31.598514983593528]}"
Amritsar,2024-05-01,10:30,0.1781382895,"{""type"":""Point"",""coordinates"":[74.79499954678835,31.678025381471382]}"
Amritsar,2024-05-01,10:30,0.1206500077,"{""type"":""Point"",""coordinates"":[74.79597094268931,31.72301981856141]}"
Amritsar,2024-05-01,10:30,0.07934336525,"{""type"":""Point"",""coordinates"":[74.79657212933404,31.744704813105876]}"
Amritsar,2024-05-01,10:30,0.4160280971,"{""type"":""Point"",""coordinates"":[74.7978342539319,31.821112971537723]}"
Amritsar,2024-05-01,10:30,0.09713554169,"{""type"":""Point"",""coordinates"":[74.79877799828292,31.91851720343332]}"
Amritsar,2024-05-01,10:30,0.2759856631,"{""type"":""Point"",""coordinates"":[74.79988792175217,31.85523246846421]}"
