Coordinate,Date,Hour,NDVI Values,City
"(74.59386306503593, 31.52415483497421)",2024-05-16,10:30,0.09566760313,Amritsar
"(74.59386306503593, 31.52415483497421)",2024-05-21,10:30,0.09126705105,Amritsar
"(74.59386306503593, 31.52415483497421)",2024-05-26,10:30,0.08654101407,Amritsar
"(74.59386306503593, 31.52415483497421)",2024-05-31,10:30,0.07445805844,Amritsar
"(74.59425070282111, 31.765025574045133)",2024-05-01,10:30,0.1371924747,Amritsar
"(74.59425070282111, 31.765025574045133)",2024-05-06,10:30,0.1224033237,Amritsar
"(74.59425070282111, 31.765025574045133)",2024-05-11,10:30,0.1156889495,Amritsar
"(74.59425070282111, 31.765025574045133)",2024-05-16,10:30,0.05982542048,Amritsar
"(74.59425070282111, 31.765025574045133)",2024-05-21,10:30,0.05286183011,Amritsar
"(74.59425070282111, 31.765025574045133)",2024-05-26,10:30,0.04617311003,Amritsar
"(74.59425070282111, 31.765025574045133)",2024-05-31,10:30,0.05553850875,Amritsar
"(74.59882871736293, 31.682925185914733)",2024-05-01,10:30,0.1177865613,Amritsar
"(74.59882871736293, 31.682925185914733)",2024-05-06,10:30,0.1154851607,Amritsar
"(74.59882871736293, 31.682925185914733)",2024-05-11,10:30,0.1066814323,Amritsar
"(74.59882871736293, 31.682925185914733)",2024-05-16,10:30,0.06326999374,Amritsar
"(74.59882871736293, 31.682925185914733)",2024-05-21,10:30,0.07710699342,Amritsar
"(74.59882871736293, 31.682925185914733)",2024-05-26,10:30,0.0744217231,Amritsar
"(74.59882871736293, 31.682925185914733)",2024-05-31,10:30,0.07081884287,Amritsar
"(74.59946703188452, 31.706494455535456)",2024-05-01,10:30,0.1940745174,Amritsar
"(74.59946703188452, 31.706494455535456)",2024-05-06,10:30,0.1539020491,Amritsar
"(74.59946703188452, 31.706494455535456)",2024-05-11,10:30,0.1795195954,Amritsar
"(74.59946703188452, 31.706494455535456)",2024-05-16,10:30,0.1315393615,Amritsar
"(74.59946703188452, 31.706494455535456)",2024-05-21,10:30,0.1088825215,Amritsar
"(74.59946703188452, 31.706494455535456)",2024-05-26,10:30,0.1030927835,Amritsar
"(74.59946703188452, 31.706494455535456)",2024-05-31,10:30,0.1145311382,Amritsar
"(74.60080374830807, 31.71506433888569)",2024-05-01,10:30,0.2060764155,Amritsar
"(74.60080374830807, 31.71506433888569)",2024-05-06,10:30,0.1784112748,Amritsar
"(74.60080374830807, 31.71506433888569)",2024-05-11,10:30,0.1877027218,Amritsar
"(74.60080374830807, 31.71506433888569)",2024-05-16,10:30,0.1309303758,Amritsar
"(74.60080374830807, 31.71506433888569)",2024-05-21,10:30,0.1260673029,Amritsar
"(74.60080374830807, 31.71506433888569)",2024-05-26,10:30,0.131587057,Amritsar
"(74.60080374830807, 31.71506433888569)",2024-05-31,10:30,0.1204838453,Amritsar
"(74.60087270399171, 31.667837802928663)",2024-05-01,10:30,0.1180666764,Amritsar
"(74.60087270399171, 31.667837802928663)",2024-05-06,10:30,0.1076077524,Amritsar
"(74.60087270399171, 31.667837802928663)",2024-05-11,10:30,0.1029446972,Amritsar
"(74.60087270399171, 31.667837802928663)",2024-05-16,10:30,0.05012744265,Amritsar
"(74.60087270399171, 31.667837802928663)",2024-05-21,10:30,0.06237176857,Amritsar
"(74.60087270399171, 31.667837802928663)",2024-05-26,10:30,0.06328268492,Amritsar
"(74.60087270399171, 31.667837802928663)",2024-05-31,10:30,0.05693693694,Amritsar
"(74.6037450206412, 31.587606104889076)",2024-05-01,10:30,0.22801101429999998,Amritsar
"(74.6037450206412, 31.587606104889076)",2024-05-06,10:30,0.2085573267,Amritsar
"(74.6037450206412, 31.587606104889076)",2024-05-11,10:30,-0.024371098685000002,Amritsar
"(74.6037450206412, 31.587606104889076)",2024-05-16,10:30,0.13739814795,Amritsar
"(74.6037450206412, 31.587606104889076)",2024-05-21,10:30,0.17383758345,Amritsar
"(74.6037450206412, 31.587606104889076)",2024-05-26,10:30,0.19937060515,Amritsar
"(74.6037450206412, 31.587606104889076)",2024-05-31,10:30,0.17083672789999998,Amritsar
"(74.60601728032232, 31.508075317223824)",2024-05-01,10:30,0.2561629153,Amritsar
"(74.60601728032232, 31.508075317223824)",2024-05-06,10:30,0.2414746544,Amritsar
"(74.60601728032232, 31.508075317223824)",2024-05-11,10:30,0.1661227661,Amritsar
"(74.60601728032232, 31.508075317223824)",2024-05-16,10:30,0.223387353,Amritsar
"(74.60601728032232, 31.508075317223824)",2024-05-21,10:30,0.2309093669,Amritsar
